C,superleagueplayoffgroup,11,Super League Playoff Group,
C,superleaguechampionshipgroup,11,Super League Championship Group,
C,superleaguerelegationgroup,11,Super League Relegation Group,
C,superleaguequalification,12,Super League Qualification,
L,superleague2,20,Super League 2,
C,superleague2promotiongroup,21,Super League 2 Promotion Group,
C,superleague2relegationgroup,21,Super League 2 Relegation Group,
C,cuppreliminaryround,99,FA Cup Preliminary Round,
C,cup,100,Greek FA Cup,
C,cupgrp1,100,Greek FA Cup Group 1,
C,cupgrp2,101,Greek FA Cup Group 2,
C,cupgrp3,102,Greek FA Cup Group 3,
C,cupgrp4,103,Greek FA Cup Group 4,
C,cupgrp5,104,Greek FA Cup Group 5,
C,cupgrp6,105,Greek FA Cup Group 6,
C,cupgrp7,106,Greek FA Cup Group 7,
C,cupgrp8,107,Greek FA Cup Group 8,
C,cupfinalstage,110,Greek FA Cup Finals,
N,GUA,Guatemala,700,guatemala
L,liganacionalapertura,10,Liga Nacional - Apertura,
L,liganacionalclausura,10,Liga Nacional - Clausura,
C,liganacionalclausurafinalstage,11,Liga Nacional - Clausura Finals,
C,liganacionalaperturafinalstage,11,Liga Nacional - Apertura Finals,
C,liganacionalconcacafchampionsleagueplayoff,12,Liga Nacional - CONCACAF Champions League Playoff,
N,HON,Honduras,610,honduras
L,liganacionalapertura,10,Liga Nacional - Apertura,
L,liganacionalclausura,10,Liga Nacional - Clausura,
C,liganacionalaperturafinalstage~liganacionalaperturafinalgroup,11,Liga Nacional - Apertura Finals,
C,liganacionalclausurafinalstage,11,Liga Nacional - Clausura Finals,
C,liganacionalconcacafchampionsleagueplayoff,12,Liga Nacional CONCACAF CL Playoffs,
C,liganacionalrelegationgroup,13,Liga Nacional Relegation Group,
C,liganacionalaperturagrandfinal,14,Liga Nacional Apertura Final,
N,HUN,Hungary,340,hungary
L,nbi,10,Nemzeti Bajnoks&aacute;g I,
C,facup,100,Magyar Kupa,
			N,ISL,Iceland,640,iceland
			L,urvalsdeild,10,Urvalsdeild,
			L,1deild,20,1. Deild,
			C,cup,100,Icelandic FA Cup,
N,IND,India,770,india
L,ileague,10,I-League,
L,ileaguechampionshipgroup,11,I-League Championship Group,
L,ileaguerelegationgroup,12,I-League Relegation Group,
L,indiansuperleague,10,Indian Super League,
C,indiansuperleaguefinalstage,11,Indian Super League Finals,
			N,IDN,Indonesia,810,indonesia
			L,liga1,10,Liga 1,
N,INT,Internationals,10,internationals
#,,,,
# World Cup and International Comps,,,,
#,,,,
L,worldcupgrpa,1,World Cup 2022 Group A,
L,worldcupgrpb,2,World Cup 2022 Group B,
L,worldcupgrpc,3,World Cup 2022 Group C,
L,worldcupgrpd,4,World Cup 2022 Group D,
L,worldcupgrpe,5,World Cup 2022 Group E,
L,worldcupgrpf,6,World Cup 2022 Group F,
L,worldcupgrpg,7,World Cup 2022 Group G,
L,worldcupgrph,8,World Cup 2022 Group H,
C,worldcup18finals~worldcupquarterfinals~worldcupsemifinals~worldcupbronzematch~worldcupfinal,9,World Cup 2022 Finals,
C,worldcupqualificationuefaplayoff,11,Women's WCQ European Qualifiers,
L,worldcupqualificationuefagrp1,11,Women's WCQ Europe (UEFA) Group 1,
L,worldcupqualificationuefagrp2,12,Women's WCQ Europe (UEFA) Group 2,
L,worldcupqualificationuefagrp3,13,Women's WCQ Europe (UEFA) Group 3,
L,worldcupqualificationuefagrp4,14,Women's WCQ Europe (UEFA) Group 4,
L,worldcupqualificationuefagrp5,15,Women's WCQ Europe (UEFA) Group 5,
L,worldcupqualificationuefagrp6,16,Women's WCQ Europe (UEFA) Group 6,
L,worldcupqualificationuefagrp7,17,Women's WCQ Europe (UEFA) Group 7,
L,worldcupqualificationuefagrp8,18,Women's WCQ Europe (UEFA) Group 8,
L,worldcupqualificationuefagrp9,19,Women's WCQ Europe (UEFA) Group 9,
L,worldcupqualificationuefa1stroundgrpa,11,WCQ Europe (UEFA) 1st Round Group A,
L,worldcupqualificationuefa1stroundgrpb,12,WCQ Europe (UEFA) 1st Round Group B,
L,worldcupqualificationuefa1stroundgrpc,13,WCQ Europe (UEFA) 1st Round Group C,
L,worldcupqualificationuefa1stroundgrpd,14,WCQ Europe (UEFA) 1st Round Group D,
L,worldcupqualificationuefa1stroundgrpe,15,WCQ Europe (UEFA) 1st Round Group E,
L,worldcupqualificationuefa1stroundgrpf,16,WCQ Europe (UEFA) 1st Round Group F,
L,worldcupqualificationuefa1stroundgrpg,17,WCQ Europe (UEFA) 1st Round Group G,
L,worldcupqualificationuefa1stroundgrph,18,WCQ Europe (UEFA) 1st Round Group H,
L,worldcupqualificationuefa1stroundgrpi,19,WCQ Europe (UEFA) 1st Round Group I,
L,worldcupqualificationuefa1stroundgrpj,20,WCQ Europe (UEFA) 1st Round Group J,
C,worldcupqualificationuefa2ndround,20,WCQ Europe (UEFA) 2nd Round,
C,worldcupqualificationafc1stround,24,WCQ Asia (AFC) 1st Round,
L,worldcupqualificationafc2ndroundgrpa,25,WCQ Asia (AFC) 2nd Round Group A,
L,worldcupqualificationafc2ndroundgrpb,26,WCQ Asia (AFC) 2nd Round Group B,
L,worldcupqualificationafc2ndroundgrpc,27,WCQ Asia (AFC) 2nd Round Group C,
L,worldcupqualificationafc2ndroundgrpd,28,WCQ Asia (AFC) 2nd Round Group D,
L,worldcupqualificationafc2ndroundgrpe,29,WCQ Asia (AFC) 2nd Round Group E,
L,worldcupqualificationafc2ndroundgrpf,30,WCQ Asia (AFC) 2nd Round Group F,
L,worldcupqualificationafc2ndroundgrpg,31,WCQ Asia (AFC) 2nd Round Group G,
